source,target,type,stage,weight
PROC_123,수능,REQUIRES,1,100.0
PROC_124,수능,REQUIRES,1,100.0
PROC_125,수능,REQUIRES,1,100.0
PROC_126,수능,REQUIRES,1,100.0
PROC_127,수능,REQUIRES,1,100.0
PROC_128,수능,REQUIRES,1,100.0
PROC_129,수능,REQUIRES,1,100.0
PROC_130,수능,REQUIRES,1,100.0
PROC_131,수능,REQUIRES,1,100.0
PROC_132,수능,REQUIRES,1,100.0
PROC_133,수능,REQUIRES,1,100.0
PROC_134,수능,REQUIRES,1,100.0
PROC_135,수능,REQUIRES,1,100.0
PROC_136,수능,REQUIRES,1,100.0
PROC_137,수능,REQUIRES,1,100.0
PROC_138,수능,REQUIRES,1,100.0
PROC_139,수능,REQUIRES,1,100.0
PROC_140,수능,REQUIRES,1,100.0
PROC_141,수능,REQUIRES,1,100.0
PROC_142,수능,REQUIRES,1,100.0
PROC_143,수능,REQUIRES,1,100.0
PROC_144,수능,REQUIRES,1,100.0
PROC_145,수능,REQUIRES,1,100.0
PROC_146,수능,REQUIRES,1,100.0
PROC_147,수능,REQUIRES,1,100.0
PROC_148,수능,REQUIRES,1,100.0
PROC_149,수능,REQUIRES,1,100.0
PROC_150,수능,REQUIRES,1,100.0
PROC_151,수능,REQUIRES,1,100.0
PROC_152,수능,REQUIRES,1,100.0
PROC_153,수능,REQUIRES,1,100.0
PROC_154,수능,REQUIRES,1,100.0
PROC_155,수능,REQUIRES,1,100.0
PROC_156,수능,REQUIRES,1,100.0
PROC_157,수능,REQUIRES,1,100.0
PROC_158,수능,REQUIRES,1,100.0
PROC_159,수능,REQUIRES,1,100.0
PROC_160,수능,REQUIRES,1,100.0
PROC_161,수능,REQUIRES,1,100.0
PROC_162,수능,REQUIRES,1,100.0
PROC_163,수능,REQUIRES,1,100.0
PROC_164,수능,REQUIRES,1,100.0
PROC_165,수능,REQUIRES,1,100.0
PROC_166,수능,REQUIRES,1,100.0
PROC_167,수능,REQUIRES,1,100.0
PROC_168,수능,REQUIRES,1,100.0
PROC_169,수능,REQUIRES,1,100.0
PROC_170,수능,REQUIRES,1,100.0
PROC_171,수능,REQUIRES,1,100.0
PROC_172,수능,REQUIRES,1,100.0
PROC_173,수능,REQUIRES,1,100.0
PROC_174,수능,REQUIRES,1,100.0
PROC_175,수능,REQUIRES,1,100.0
PROC_176,수능,REQUIRES,1,100.0
PROC_177,수능,REQUIRES,1,100.0
PROC_178,수능,REQUIRES,1,100.0
PROC_179,수능,REQUIRES,1,100.0
PROC_180,수능,REQUIRES,1,60.0
PROC_180,실기,REQUIRES,1,40.0
PROC_181,수능,REQUIRES,1,75.0
PROC_181,실기,REQUIRES,1,25.0
PROC_182,수능,REQUIRES,1,40.0
PROC_182,실기,REQUIRES,1,60.0
PROC_183,수능,REQUIRES,1,40.0
PROC_183,실기,REQUIRES,1,60.0
PROC_184,수능,REQUIRES,1,40.0
PROC_184,실기,REQUIRES,1,60.0
PROC_185,수능,REQUIRES,1,40.0
PROC_185,실기,REQUIRES,1,60.0
PROC_186,수능,REQUIRES,1,100.0
PROC_187,수능,REQUIRES,1,100.0
PROC_188,수능,REQUIRES,1,100.0
PROC_189,수능,REQUIRES,1,100.0
PROC_190,수능,REQUIRES,1,100.0
PROC_191,수능,REQUIRES,1,100.0
PROC_192,수능,REQUIRES,1,100.0
