"id","name","region","type_ext","foundation","gender_limit"
"C119","아주대","경기","1","3","0"
"L117","경국대","경북","1","1","0"
"C120","안양대","경기","1","3","0"
"B106","안양대(강화)","인천","1","3","0"
"A132","연세대","서울","1","3","0"
"A132","연세대","서울","1","3","1"
"A132","연세대","서울","1","3","2"
"B108","연세대(국제)","인천","1","3","0"
"D107","연세대(미래)","강원","1","3","0"
"L118","영남대","경북","1","3","0"
"K105","영남대(대구)","대구","1","3","0"
"N113","영산대","부산","1","3","0"
"M106","영산대(양산)","경남","1","3","0"
"J103","예수대","전북","1","3","0"
"C145","예원예술대(경기)","경기","1","3","0"
"C121","용인대","경기","1","3","0"
"J105","우석대(전주)","전북","1","3","0"
"G115","우석대(진천)","충북","1","3","0"
"E105","우송대","대전","1","3","0"
"O101","울산대","울산","1","3","0"
"J106","원광대","전북","1","3","0"
"L120","위덕대","경북","1","3","0"
"F129","유원대(아산)","충북","1","3","0"
"G107","유원대","충북","1","3","0"
"C243","을지대(의정부)","경기","1","3","0"
"E106","을지대","대전","1","3","0"
"C122","을지대(성남)","경기","1","3","0"
"A134","이화여대","서울","1","3","2"
"M116","인제대","경남","1","3","0"
"N116","인제대(부산)","부산","1","3","0"
"B103","인천가톨릭대","인천","1","3","0"
"B104","인천대","인천","1","1","0"
"B105","인하대","인천","1","3","0"
"A135","장로회신학대","서울","1","3","0"
"A135","장로회신학대","서울","1","3","1"
"A135","장로회신학대","서울","1","3","2"
"H106","전남대","광주","1","1","0"
"I112","전남대(여수)","전남","1","1","0"
"J107","전북대","전북","1","1","0"
"J112","전북대(익산)","전북","1","1","0"
"J108","전주교대","전북","2","1","0"
"J109","전주대","전북","1","3","0"
"P103","제주국제대","제주","1","3","0"
"P102","제주대","제주","1","1","0"
"P101","제주대(사라)","제주","1","1","0"
"H107","조선대","광주","1","3","0"
"C140","중부대(고양)","경기","1","3","0"
"F118","중부대","충남","1","3","0"
"A136","중앙대","서울","1","3","0"
"C123","중앙대(다빈치)","경기","1","3","0"
"C123","중앙대(다빈치)","경기","1","3","1"
"C123","중앙대(다빈치)","경기","1","3","2"
"G113","중원대","충북","1","3","0"
"M107","진주교대","경남","2","1","0"
"C127","차의과학대","경기","1","3","0"
"M112","창신대","경남","1","3","0"
"M110","창원대","경남","1","1","0"
"M110","창원대","경남","1","1","1"
"M110","창원대","경남","1","1","2"
"F119","청운대","충남","3","3","0"
"B107","청운대(인천)","인천","3","3","0"
"G108","청주교대","충북","2","1","0"
"G109","청주대","충북","1","3","1"
"G109","청주대","충북","1","3","0"
"I110","초당대","전남","1","3","0"
"A137","총신대","서울","1","3","0"
"A137","총신대","서울","1","3","1"
"A137","총신대","서울","1","3","2"
"A138","추계예술대","서울","1","3","0"
"A138","추계예술대","서울","1","3","1"
"A138","추계예술대","서울","1","3","2"
"D108","춘천교대","강원","2","1","0"
"E107","충남대","대전","1","1","1"
"E107","충남대","대전","1","1","0"
"G110","충북대","충북","1","1","0"
"E108","침례신학대","대전","1","3","0"
"C125","칼빈대","경기","1","3","0"
"C126","평택대","경기","1","3","0"
"C128","한경국립대(안성)","경기","1","1","0"
"E109","한국과학기술원","대전","4","1","0"
"G112","한국교원대","충북","1","1","0"
"G111","한국교통대","충북","1","1","0"
"C138","한국교통대(의왕)","경기","1","1","0"
"G114","한국교통대(증평)","충북","1","1","0"
"C129","한국공학대","경기","1","3","0"
"A140","한국성서대","서울","1","3","0"
"A142","한국외대","서울","1","3","0"
"C130","한국외대(글로벌)","경기","1","3","0"
"A143","한국체육대","서울","1","1","0"
