source,target,type
PROC_52,D105_경찰학부,FOR_MAJOR
PROC_52,다군,IN_PERIOD
D105,PROC_53,OFFERS
PROC_53,D105_행정학전공,FOR_MAJOR
PROC_53,나군,IN_PERIOD
D105,PROC_54,OFFERS
PROC_54,D105_광고홍보학전공,FOR_MAJOR
PROC_54,다군,IN_PERIOD
D105,PROC_55,OFFERS
PROC_55,D105_사회복지학전공,FOR_MAJOR
PROC_55,나군,IN_PERIOD
D105,PROC_56,OFFERS
PROC_56,D105_역사교육과,FOR_MAJOR
PROC_56,다군,IN_PERIOD
D105,PROC_57,OFFERS
PROC_57,D105_영어교육과,FOR_MAJOR
PROC_57,나군,IN_PERIOD
D105,PROC_58,OFFERS
PROC_58,D105_의료경영학전공,FOR_MAJOR
PROC_58,다군,IN_PERIOD
D105,PROC_59,OFFERS
PROC_59,D105_지리교육과,FOR_MAJOR
PROC_59,다군,IN_PERIOD
D105,PROC_60,OFFERS
PROC_60,D105_미디어콘텐츠전공,FOR_MAJOR
PROC_60,다군,IN_PERIOD
D105,PROC_61,OFFERS
PROC_61,D105_항공교통물류전공,FOR_MAJOR
PROC_61,나군,IN_PERIOD
D105,PROC_62,OFFERS
PROC_62,D105_건축공학전공,FOR_MAJOR
PROC_62,나군,IN_PERIOD
D105,PROC_63,OFFERS
PROC_63,D105_의생명과학전공,FOR_MAJOR
PROC_63,다군,IN_PERIOD
D105,PROC_64,OFFERS
PROC_64,D105_간호학과,FOR_MAJOR
PROC_64,다군,IN_PERIOD
D105,PROC_65,OFFERS
PROC_65,D105_수학교육과,FOR_MAJOR
PROC_65,나군,IN_PERIOD
D105,PROC_66,OFFERS
PROC_66,D105_의학과(의예과),FOR_MAJOR
PROC_66,다군,IN_PERIOD
D105,PROC_67,OFFERS
PROC_67,D105_임상병리학과,FOR_MAJOR
PROC_67,다군,IN_PERIOD
D105,PROC_68,OFFERS
PROC_68,D105_컴퓨터교육과,FOR_MAJOR
PROC_68,다군,IN_PERIOD
D105,PROC_69,OFFERS
PROC_69,D105_항공운항전공,FOR_MAJOR
PROC_69,다군,IN_PERIOD
D105,PROC_70,OFFERS
PROC_70,D105_항공정비학전공,FOR_MAJOR
PROC_70,나군,IN_PERIOD
D105,PROC_71,OFFERS
PROC_71,D105_스포츠레저학전공,FOR_MAJOR
PROC_71,나군,IN_PERIOD
D105,PROC_72,OFFERS
PROC_72,D105_스포츠재활의학전공,FOR_MAJOR
PROC_72,나군,IN_PERIOD
D105,PROC_73,OFFERS
PROC_73,D105_체육교육과,FOR_MAJOR
PROC_73,다군,IN_PERIOD
A102,서울,LOCATED_IN
A102,PROC_74,OFFERS
PROC_74,A102_신학과,FOR_MAJOR
PROC_74,가군,IN_PERIOD
C101,경기,LOCATED_IN
C101,PROC_75,OFFERS
PROC_75,C101_특수교육과,FOR_MAJOR
PROC_75,가군,IN_PERIOD
C101,PROC_76,OFFERS
PROC_76,C101_음악과(작곡),FOR_MAJOR
PROC_76,가군,IN_PERIOD
C101,PROC_77,OFFERS
PROC_77,C101_음악과(피아노),FOR_MAJOR
PROC_77,가군,IN_PERIOD
A101,서울,LOCATED_IN
A101,PROC_78,OFFERS
PROC_78,A101_간호학과,FOR_MAJOR
PROC_78,나군,IN_PERIOD
A101,PROC_79,OFFERS
PROC_79,A101_의예과,FOR_MAJOR
PROC_79,가군,IN_PERIOD
A103,서울,LOCATED_IN
A103,PROC_80,OFFERS
PROC_80,A103_신학부,FOR_MAJOR
PROC_80,나군,IN_PERIOD
C102,경기,LOCATED_IN
C102,PROC_81,OFFERS
PROC_81,C102_상경학부,FOR_MAJOR
PROC_81,가군,IN_PERIOD
C102,PROC_82,OFFERS
PROC_82,C102_복지융합대학,FOR_MAJOR
PROC_82,가군,IN_PERIOD
C102,PROC_83,OFFERS
PROC_83,C102_유아교육과,FOR_MAJOR
PROC_83,가군,IN_PERIOD
C102,PROC_84,OFFERS
PROC_84,C102_글로벌문화콘텐츠대학,FOR_MAJOR
PROC_84,다군,IN_PERIOD
C102,PROC_85,OFFERS
PROC_85,C102_초등특수교육과,FOR_MAJOR
PROC_85,나군,IN_PERIOD
C102,PROC_86,OFFERS
PROC_86,C102_교육학과,FOR_MAJOR
PROC_86,다군,IN_PERIOD
C102,PROC_87,OFFERS
PROC_87,C102_상경학부(야),FOR_MAJOR
PROC_87,다군,IN_PERIOD
C102,PROC_88,OFFERS
PROC_88,C102_중등특수교육과,FOR_MAJOR
PROC_88,나군,IN_PERIOD
C102,PROC_89,OFFERS
PROC_89,C102_부동산건설학부,FOR_MAJOR
PROC_89,나군,IN_PERIOD
C102,PROC_90,OFFERS
PROC_90,C102_체육학과,FOR_MAJOR
PROC_90,다군,IN_PERIOD
C102,PROC_91,OFFERS
PROC_91,C102_디자인학과,FOR_MAJOR
PROC_91,다군,IN_PERIOD
C102,PROC_92,OFFERS
PROC_92,C102_음악학과(관현악),FOR_MAJOR
PROC_92,다군,IN_PERIOD
C102,PROC_93,OFFERS
