source,target,type
N106,PROC_1513,OFFERS
PROC_1513,N106_경찰행정학과,FOR_MAJOR
PROC_1513,나군,IN_PERIOD
N106,PROC_1514,OFFERS
PROC_1514,N106_외식경영학과,FOR_MAJOR
PROC_1514,가군,IN_PERIOD
N106,PROC_1515,OFFERS
PROC_1515,N106_유아교육과,FOR_MAJOR
PROC_1515,나군,IN_PERIOD
N106,PROC_1516,OFFERS
PROC_1516,N106_중어중국학과,FOR_MAJOR
PROC_1516,다군,IN_PERIOD
N106,PROC_1517,OFFERS
PROC_1517,N106_한의예과(인문),FOR_MAJOR
PROC_1517,나군,IN_PERIOD
N106,PROC_1518,OFFERS
PROC_1518,N106_경영정보학과,FOR_MAJOR
PROC_1518,다군,IN_PERIOD
N106,PROC_1519,OFFERS
PROC_1519,N106_제품디자인공학과,FOR_MAJOR
PROC_1519,나군,IN_PERIOD
N106,PROC_1520,OFFERS
PROC_1520,N106_물리치료학과,FOR_MAJOR
PROC_1520,가군,IN_PERIOD
N106,PROC_1521,OFFERS
PROC_1521,N106_조선해양공학과,FOR_MAJOR
PROC_1521,다군,IN_PERIOD
N106,PROC_1522,OFFERS
PROC_1522,N106_화학공학과,FOR_MAJOR
PROC_1522,나군,IN_PERIOD
N106,PROC_1523,OFFERS
PROC_1523,N106_간호학과,FOR_MAJOR
PROC_1523,나군,IN_PERIOD
N106,PROC_1524,OFFERS
PROC_1524,N106_기계공학과,FOR_MAJOR
PROC_1524,가군,IN_PERIOD
N106,PROC_1525,OFFERS
PROC_1525,N106_식품영양학과,FOR_MAJOR
PROC_1525,나군,IN_PERIOD
N106,PROC_1526,OFFERS
PROC_1526,N106_신소재공학과,FOR_MAJOR
PROC_1526,가군,IN_PERIOD
N106,PROC_1527,OFFERS
PROC_1527,N106_의료경영학과,FOR_MAJOR
PROC_1527,나군,IN_PERIOD
N106,PROC_1528,OFFERS
PROC_1528,N106_임상병리학과,FOR_MAJOR
PROC_1528,나군,IN_PERIOD
N106,PROC_1529,OFFERS
PROC_1529,N106_치위생학과,FOR_MAJOR
PROC_1529,나군,IN_PERIOD
N106,PROC_1530,OFFERS
PROC_1530,N106_한의예과(자연),FOR_MAJOR
PROC_1530,나군,IN_PERIOD
N106,PROC_1531,OFFERS
PROC_1531,N106_바이오의약학과,FOR_MAJOR
PROC_1531,가군,IN_PERIOD
N106,PROC_1532,OFFERS
PROC_1532,N106_아동학과,FOR_MAJOR
PROC_1532,나군,IN_PERIOD
N106,PROC_1533,OFFERS
PROC_1533,N106_태권도학과,FOR_MAJOR
PROC_1533,가군,IN_PERIOD
N106,PROC_1534,OFFERS
PROC_1534,N106_공예디자인전공,FOR_MAJOR
PROC_1534,가군,IN_PERIOD
N106,PROC_1535,OFFERS
PROC_1535,N106_산업디자인전공,FOR_MAJOR
PROC_1535,가군,IN_PERIOD
N106,PROC_1536,OFFERS
PROC_1536,N106_시각디자인전공,FOR_MAJOR
PROC_1536,가군,IN_PERIOD
N106,PROC_1537,OFFERS
PROC_1537,N106_패션디자인학과,FOR_MAJOR
PROC_1537,나군,IN_PERIOD
C110,경기,LOCATED_IN
C110,PROC_1538,OFFERS
PROC_1538,C110_건축학전공,FOR_MAJOR
PROC_1538,나군,IN_PERIOD
C110,PROC_1539,OFFERS
PROC_1539,C110_영상애니메이션디자인전공,FOR_MAJOR
PROC_1539,나군,IN_PERIOD
C110,PROC_1540,OFFERS
PROC_1540,C110_연극영화전공,FOR_MAJOR
PROC_1540,나군,IN_PERIOD
C110,PROC_1541,OFFERS
PROC_1541,C110_작곡전공,FOR_MAJOR
PROC_1541,다군,IN_PERIOD
C110,PROC_1542,OFFERS
PROC_1542,C110_건반음악전공,FOR_MAJOR
PROC_1542,다군,IN_PERIOD
C110,PROC_1543,OFFERS
PROC_1543,C110_뮤지컬공연전공,FOR_MAJOR
PROC_1543,다군,IN_PERIOD
C110,PROC_1544,OFFERS
PROC_1544,C110_체육학/스포츠산업학전공,FOR_MAJOR
PROC_1544,다군,IN_PERIOD
A115,서울,LOCATED_IN
A115,PROC_1545,OFFERS
PROC_1545,A115_경영대학,FOR_MAJOR
PROC_1545,다군,IN_PERIOD
A115,PROC_1546,OFFERS
PROC_1546,A115_인공지능소프트웨어융합대학,FOR_MAJOR
PROC_1546,다군,IN_PERIOD
A115,PROC_1547,OFFERS
PROC_1547,A115_문예창작학과,FOR_MAJOR
PROC_1547,나군,IN_PERIOD
A115,PROC_1548,OFFERS
PROC_1548,A115_디지털콘텐츠디자인학과,FOR_MAJOR
PROC_1548,다군,IN_PERIOD
I105,전남,LOCATED_IN
I105,PROC_1549,OFFERS
PROC_1549,I105_간호학과,FOR_MAJOR
PROC_1549,가군,IN_PERIOD
I106,전남,LOCATED_IN
I106,PROC_1550,OFFERS
PROC_1550,I106_경영학부,FOR_MAJOR
PROC_1550,가군,IN_PERIOD
I106,PROC_1551,OFFERS
PROC_1551,I106_경제무역학부,FOR_MAJOR
PROC_1551,가군,IN_PERIOD
I106,PROC_1552,OFFERS
PROC_1552,I106_관광학과,FOR_MAJOR
PROC_1552,다군,IN_PERIOD
I106,PROC_1553,OFFERS
PROC_1553,I106_법경찰학부,FOR_MAJOR
PROC_1553,다군,IN_PERIOD
I106,PROC_1554,OFFERS
PROC_1554,I106_인문콘텐츠학부,FOR_MAJOR
PROC_1554,가군,IN_PERIOD
I106,PROC_1555,OFFERS
PROC_1555,I106_영어교육과,FOR_MAJOR
PROC_1555,가군,IN_PERIOD
I106,PROC_1556,OFFERS
PROC_1556,I106_행정언론미디어학부,FOR_MAJOR
PROC_1556,다군,IN_PERIOD
I106,PROC_1557,OFFERS
PROC_1557,I106_교육학과,FOR_MAJOR
PROC_1557,다군,IN_PERIOD
I106,PROC_1558,OFFERS
PROC_1558,I106_국어국문문예창작학부,FOR_MAJOR
PROC_1558,가군,IN_PERIOD
I106,PROC_1559,OFFERS
PROC_1559,I106_도시계획및조경학부,FOR_MAJOR
PROC_1559,가군,IN_PERIOD
I106,PROC_1560,OFFERS
PROC_1560,I106_사회복지학과,FOR_MAJOR
PROC_1560,다군,IN_PERIOD
I106,PROC_1561,OFFERS
PROC_1561,I106_아동학과,FOR_MAJOR
PROC_1561,다군,IN_PERIOD
I106,PROC_1562,OFFERS
PROC_1562,I106_글로벌커뮤니케이션학부,FOR_MAJOR
PROC_1562,가군,IN_PERIOD
I106,PROC_1563,OFFERS
PROC_1563,I106_윤리교육과,FOR_MAJOR
PROC_1563,다군,IN_PERIOD
I106,PROC_1564,OFFERS
PROC_1564,I106_지적학과,FOR_MAJOR
PROC_1564,다군,IN_PERIOD
I106,PROC_1565,OFFERS
PROC_1565,I106_간호학과,FOR_MAJOR
PROC_1565,가군,IN_PERIOD
I106,PROC_1566,OFFERS
PROC_1566,I106_건축학과(5년제),FOR_MAJOR
PROC_1566,가군,IN_PERIOD
I106,PROC_1567,OFFERS
PROC_1567,I106_수학교육과,FOR_MAJOR
PROC_1567,가군,IN_PERIOD
I106,PROC_1568,OFFERS
PROC_1568,I106_반도체공학과,FOR_MAJOR
PROC_1568,가군,IN_PERIOD
I106,PROC_1569,OFFERS
PROC_1569,I106_건축토목환경공학부,FOR_MAJOR
PROC_1569,가군,IN_PERIOD
I106,PROC_1570,OFFERS
PROC_1570,I106_기계조선해양공학부,FOR_MAJOR
PROC_1570,가군,IN_PERIOD
I106,PROC_1571,OFFERS
PROC_1571,I106_식품제약공학부,FOR_MAJOR
PROC_1571,다군,IN_PERIOD
I106,PROC_1572,OFFERS
PROC_1572,I106_전기공학과,FOR_MAJOR
PROC_1572,가군,IN_PERIOD
I106,PROC_1573,OFFERS
PROC_1573,I106_식품영양학과,FOR_MAJOR
PROC_1573,다군,IN_PERIOD
I106,PROC_1574,OFFERS
PROC_1574,I106_컴퓨터학부,FOR_MAJOR
PROC_1574,가군,IN_PERIOD
I106,PROC_1575,OFFERS
PROC_1575,I106_패션의류학과,FOR_MAJOR
PROC_1575,다군,IN_PERIOD
I106,PROC_1576,OFFERS
PROC_1576,I106_환경교육과,FOR_MAJOR
PROC_1576,다군,IN_PERIOD
I106,PROC_1577,OFFERS
PROC_1577,I106_체육학과,FOR_MAJOR
PROC_1577,다군,IN_PERIOD
I107,전남,LOCATED_IN
I107,PROC_1578,OFFERS
PROC_1578,I107_기관시스템공학부,FOR_MAJOR
PROC_1578,가군,IN_PERIOD
I107,PROC_1579,OFFERS
PROC_1579,I107_해양경찰학부,FOR_MAJOR
PROC_1579,가군,IN_PERIOD
I107,PROC_1580,OFFERS
PROC_1580,I107_항해정보시스템학부,FOR_MAJOR
PROC_1580,가군,IN_PERIOD
I107,PROC_1581,OFFERS
PROC_1581,I107_항해학부,FOR_MAJOR
PROC_1581,가군,IN_PERIOD
I107,PROC_1582,OFFERS
PROC_1582,I107_해군사관학부(남),FOR_MAJOR
PROC_1582,가군,IN_PERIOD
I107,PROC_1583,OFFERS
PROC_1583,I107_해군사관학부(여),FOR_MAJOR
PROC_1583,가군,IN_PERIOD
I107,PROC_1584,OFFERS
PROC_1584,I107_해양메카트로닉스학부,FOR_MAJOR
PROC_1584,가군,IN_PERIOD
I107,PROC_1585,OFFERS
PROC_1585,I107_조선해양공학과,FOR_MAJOR
PROC_1585,가군,IN_PERIOD
I107,PROC_1586,OFFERS
PROC_1586,I107_해양건설공학과,FOR_MAJOR
PROC_1586,가군,IN_PERIOD
I107,PROC_1587,OFFERS
PROC_1587,I107_컴퓨터공학과,FOR_MAJOR
PROC_1587,가군,IN_PERIOD
I107,PROC_1588,OFFERS
PROC_1588,I107_환경생명공학과,FOR_MAJOR
PROC_1588,가군,IN_PERIOD
I107,PROC_1589,OFFERS
PROC_1589,I107_해상운송학부,FOR_MAJOR
PROC_1589,가군,IN_PERIOD
E104,대전,LOCATED_IN
E104,PROC_1590,OFFERS
PROC_1590,E104_경찰법학부,FOR_MAJOR
PROC_1590,가군,IN_PERIOD
E104,PROC_1591,OFFERS
PROC_1591,E104_관광경영학과,FOR_MAJOR
PROC_1591,가군,IN_PERIOD
E104,PROC_1592,OFFERS
PROC_1592,E104_경영학과,FOR_MAJOR
PROC_1592,다군,IN_PERIOD
E104,PROC_1593,OFFERS
PROC_1593,E104_글로벌비즈니스학과,FOR_MAJOR
PROC_1593,나군,IN_PERIOD
E104,PROC_1594,OFFERS
PROC_1594,E104_행정학과,FOR_MAJOR
PROC_1594,다군,IN_PERIOD
E104,PROC_1595,OFFERS
PROC_1595,E104_호텔항공경영학과,FOR_MAJOR
PROC_1595,나군,IN_PERIOD
E104,PROC_1596,OFFERS
PROC_1596,E104_건축학과(5년제),FOR_MAJOR
PROC_1596,다군,IN_PERIOD
E104,PROC_1597,OFFERS
PROC_1597,E104_정보보안학,FOR_MAJOR
PROC_1597,나군,IN_PERIOD
E104,PROC_1598,OFFERS
PROC_1598,E104_외식조리학과,FOR_MAJOR
PROC_1598,나군,IN_PERIOD
E104,PROC_1599,OFFERS
PROC_1599,E104_의류패션학과,FOR_MAJOR
PROC_1599,나군,IN_PERIOD
E104,PROC_1600,OFFERS
PROC_1600,E104_소프트웨어학,FOR_MAJOR
PROC_1600,나군,IN_PERIOD
E104,PROC_1601,OFFERS
PROC_1601,E104_게임공학,FOR_MAJOR
PROC_1601,다군,IN_PERIOD
E104,PROC_1602,OFFERS
PROC_1602,E104_드론로봇공학과,FOR_MAJOR
PROC_1602,가군,IN_PERIOD
E104,PROC_1603,OFFERS
PROC_1603,E104_원예산림학과,FOR_MAJOR
PROC_1603,다군,IN_PERIOD
E104,PROC_1604,OFFERS
PROC_1604,E104_전기전자공학과,FOR_MAJOR
PROC_1604,다군,IN_PERIOD
E104,PROC_1605,OFFERS
PROC_1605,E104_아트앤웹툰,FOR_MAJOR
PROC_1605,다군,IN_PERIOD
E104,PROC_1606,OFFERS
PROC_1606,E104_레저스포츠학부(볼링),FOR_MAJOR
PROC_1606,나군,IN_PERIOD
E115,대전,LOCATED_IN
E115,PROC_1607,OFFERS
PROC_1607,E115_컴퓨터공학,FOR_MAJOR
PROC_1607,가군,IN_PERIOD
E115,PROC_1608,OFFERS
PROC_1608,E115_생명공학과,FOR_MAJOR
PROC_1608,다군,IN_PERIOD
F113,충남,LOCATED_IN
F113,PROC_1609,OFFERS
PROC_1609,F113_경상학부,FOR_MAJOR
PROC_1609,가군,IN_PERIOD
F113,PROC_1610,OFFERS
PROC_1610,F113_관광학부,FOR_MAJOR
PROC_1610,가군,IN_PERIOD
F113,PROC_1611,OFFERS
PROC_1611,F113_기독교학부,FOR_MAJOR
PROC_1611,가군,IN_PERIOD
F113,PROC_1612,OFFERS
PROC_1612,F113_유아교육과,FOR_MAJOR
PROC_1612,가군,IN_PERIOD
F113,PROC_1613,OFFERS
PROC_1613,F113_특수교육과,FOR_MAJOR
PROC_1613,가군,IN_PERIOD
F113,PROC_1614,OFFERS
PROC_1614,F113_경찰학부,FOR_MAJOR
PROC_1614,나군,IN_PERIOD
F113,PROC_1615,OFFERS
PROC_1615,F113_사회복지학부,FOR_MAJOR
PROC_1615,나군,IN_PERIOD
F113,PROC_1616,OFFERS
PROC_1616,F113_어문학부,FOR_MAJOR
PROC_1616,나군,IN_PERIOD
F113,PROC_1617,OFFERS
PROC_1617,F113_유아특수교육과,FOR_MAJOR
PROC_1617,나군,IN_PERIOD
F113,PROC_1618,OFFERS
PROC_1618,F113_항공서비스,FOR_MAJOR
PROC_1618,나군,IN_PERIOD
F113,PROC_1619,OFFERS
PROC_1619,F113_물리치료학과,FOR_MAJOR
PROC_1619,가군,IN_PERIOD
F113,PROC_1620,OFFERS
PROC_1620,F113_안경광학과,FOR_MAJOR
PROC_1620,가군,IN_PERIOD
F113,PROC_1621,OFFERS
PROC_1621,F113_응급구조학과,FOR_MAJOR
PROC_1621,가군,IN_PERIOD
F113,PROC_1622,OFFERS
PROC_1622,F113_치위생학과,FOR_MAJOR
PROC_1622,가군,IN_PERIOD
F113,PROC_1623,OFFERS
PROC_1623,F113_간호학과,FOR_MAJOR
PROC_1623,나군,IN_PERIOD
F113,PROC_1624,OFFERS
PROC_1624,F113_작업치료학과,FOR_MAJOR
PROC_1624,나군,IN_PERIOD
F113,PROC_1625,OFFERS
PROC_1625,F113_컴퓨터공학부,FOR_MAJOR
PROC_1625,나군,IN_PERIOD
F113,PROC_1626,OFFERS
PROC_1626,F113_뮤지컬전공,FOR_MAJOR
PROC_1626,가군,IN_PERIOD
F113,PROC_1627,OFFERS
PROC_1627,F113_스포츠과학부,FOR_MAJOR
PROC_1627,가군,IN_PERIOD
F113,PROC_1628,OFFERS
PROC_1628,F113_실용음악전공(건반악기),FOR_MAJOR
PROC_1628,가군,IN_PERIOD
F113,PROC_1629,OFFERS
PROC_1629,F113_실용음악전공(기타),FOR_MAJOR
PROC_1629,가군,IN_PERIOD
F113,PROC_1630,OFFERS
PROC_1630,F113_실용음악전공(드럼),FOR_MAJOR
PROC_1630,가군,IN_PERIOD
F113,PROC_1631,OFFERS
PROC_1631,F113_실용음악전공(베이스),FOR_MAJOR
PROC_1631,가군,IN_PERIOD
F113,PROC_1632,OFFERS
PROC_1632,F113_실용음악전공(보컬),FOR_MAJOR
PROC_1632,가군,IN_PERIOD
F113,PROC_1633,OFFERS
PROC_1633,F113_실용음악전공(싱어송라이터),FOR_MAJOR
PROC_1633,가군,IN_PERIOD
F113,PROC_1634,OFFERS
PROC_1634,F113_실용음악전공(작곡),FOR_MAJOR
PROC_1634,가군,IN_PERIOD
F113,PROC_1635,OFFERS
PROC_1635,F113_연기예술전공,FOR_MAJOR
PROC_1635,가군,IN_PERIOD
F113,PROC_1636,OFFERS
PROC_1636,F113_태권도학과,FOR_MAJOR
PROC_1636,가군,IN_PERIOD
F113,PROC_1637,OFFERS
PROC_1637,F113_특수체육교육과,FOR_MAJOR
PROC_1637,가군,IN_PERIOD
F113,PROC_1638,OFFERS
PROC_1638,F113_디자인영상학부,FOR_MAJOR
PROC_1638,나군,IN_PERIOD
N107,부산,LOCATED_IN
N107,PROC_1639,OFFERS
PROC_1639,N107_경영학부,FOR_MAJOR
PROC_1639,가군,IN_PERIOD
N107,PROC_1640,OFFERS
PROC_1640,N107_경제학과,FOR_MAJOR
PROC_1640,가군,IN_PERIOD
N107,PROC_1641,OFFERS
PROC_1641,N107_국어국문학과,FOR_MAJOR
PROC_1641,가군,IN_PERIOD
N107,PROC_1642,OFFERS
PROC_1642,N107_국제통상학부,FOR_MAJOR
PROC_1642,가군,IN_PERIOD
N107,PROC_1643,OFFERS
PROC_1643,N107_사학과,FOR_MAJOR
PROC_1643,가군,IN_PERIOD
N107,PROC_1644,OFFERS
PROC_1644,N107_유아교육과,FOR_MAJOR
PROC_1644,가군,IN_PERIOD
N107,PROC_1645,OFFERS
PROC_1645,N107_행정복지학부,FOR_MAJOR
PROC_1645,가군,IN_PERIOD
N107,PROC_1646,OFFERS
PROC_1646,N107_국제지역학부,FOR_MAJOR
PROC_1646,나군,IN_PERIOD
N107,PROC_1647,OFFERS
PROC_1647,N107_법학과,FOR_MAJOR
PROC_1647,나군,IN_PERIOD
N107,PROC_1648,OFFERS
PROC_1648,N107_미디어커뮤니케이션학부,FOR_MAJOR
PROC_1648,나군,IN_PERIOD
N107,PROC_1649,OFFERS
PROC_1649,N107_영어영문학부,FOR_MAJOR
PROC_1649,나군,IN_PERIOD
N107,PROC_1650,OFFERS
PROC_1650,N107_일어일문학부,FOR_MAJOR
PROC_1650,나군,IN_PERIOD
N107,PROC_1651,OFFERS
PROC_1651,N107_정치외교학과,FOR_MAJOR
PROC_1651,나군,IN_PERIOD
N107,PROC_1652,OFFERS
PROC_1652,N107_중국학과,FOR_MAJOR
PROC_1652,나군,IN_PERIOD
N107,PROC_1653,OFFERS
PROC_1653,N107_해양수산경영경제학부,FOR_MAJOR
PROC_1653,나군,IN_PERIOD
N107,PROC_1654,OFFERS
PROC_1654,N107_간호학과,FOR_MAJOR
PROC_1654,가군,IN_PERIOD
N107,PROC_1655,OFFERS
PROC_1655,N107_물리학과,FOR_MAJOR
PROC_1655,가군,IN_PERIOD
N107,PROC_1656,OFFERS
PROC_1656,N107_미생물학과,FOR_MAJOR
PROC_1656,가군,IN_PERIOD
N107,PROC_1657,OFFERS
PROC_1657,N107_생태공학전공,FOR_MAJOR
PROC_1657,가군,IN_PERIOD
N107,PROC_1658,OFFERS
PROC_1658,N107_수해양산업교육과,FOR_MAJOR
PROC_1658,가군,IN_PERIOD
N107,PROC_1659,OFFERS
PROC_1659,N107_에너지자원공학과,FOR_MAJOR
PROC_1659,가군,IN_PERIOD
N107,PROC_1660,OFFERS
PROC_1660,N107_응용수학과,FOR_MAJOR
PROC_1660,가군,IN_PERIOD
N107,PROC_1661,OFFERS
PROC_1661,N107_데이터정보과학부,FOR_MAJOR
PROC_1661,가군,IN_PERIOD
N107,PROC_1662,OFFERS
PROC_1662,N107_해양학전공,FOR_MAJOR
PROC_1662,가군,IN_PERIOD
N107,PROC_1663,OFFERS
PROC_1663,N107_화학과,FOR_MAJOR
PROC_1663,가군,IN_PERIOD
N107,PROC_1664,OFFERS
PROC_1664,N107_환경대기과학전공,FOR_MAJOR
PROC_1664,가군,IN_PERIOD
N107,PROC_1665,OFFERS
PROC_1665,N107_위성정보융합공학전공,FOR_MAJOR
PROC_1665,나군,IN_PERIOD
N107,PROC_1666,OFFERS
PROC_1666,N107_생물공학과,FOR_MAJOR
PROC_1666,나군,IN_PERIOD
N107,PROC_1667,OFFERS
PROC_1667,N107_수산생명의학과,FOR_MAJOR
PROC_1667,나군,IN_PERIOD
N107,PROC_1668,OFFERS
PROC_1668,N107_식품과학부,FOR_MAJOR
PROC_1668,나군,IN_PERIOD
N107,PROC_1669,OFFERS
PROC_1669,N107_환경지질과학전공,FOR_MAJOR
PROC_1669,나군,IN_PERIOD
N107,PROC_1670,OFFERS
PROC_1670,N107_해양공학과,FOR_MAJOR
PROC_1670,나군,IN_PERIOD
N107,PROC_1671,OFFERS
PROC_1671,N107_수산생명과학부,FOR_MAJOR
PROC_1671,나군,IN_PERIOD
N107,PROC_1672,OFFERS
PROC_1672,N107_해양생산시스템관리학부,FOR_MAJOR
PROC_1672,나군,IN_PERIOD
N107,PROC_1673,OFFERS
PROC_1673,N107_환경공학전공,FOR_MAJOR
PROC_1673,나군,IN_PERIOD
N107,PROC_1674,OFFERS
PROC_1674,N107_공업디자인전공,FOR_MAJOR
PROC_1674,가군,IN_PERIOD
N107,PROC_1675,OFFERS
PROC_1675,N107_패션디자인학과,FOR_MAJOR
PROC_1675,가군,IN_PERIOD
N107,PROC_1676,OFFERS
PROC_1676,N107_해양스포츠전공,FOR_MAJOR
PROC_1676,가군,IN_PERIOD
N107,PROC_1677,OFFERS
PROC_1677,N107_시각디자인전공,FOR_MAJOR
PROC_1677,다군,IN_PERIOD
N118,부산,LOCATED_IN
N118,PROC_1678,OFFERS
PROC_1678,N118_기계공학부,FOR_MAJOR
PROC_1678,가군,IN_PERIOD
N118,PROC_1679,OFFERS
PROC_1679,N118_소방공학과,FOR_MAJOR
PROC_1679,가군,IN_PERIOD
N118,PROC_1680,OFFERS
PROC_1680,N118_의공학전공,FOR_MAJOR
PROC_1680,가군,IN_PERIOD
N118,PROC_1681,OFFERS
PROC_1681,N118_전기공학부,FOR_MAJOR
PROC_1681,나군,IN_PERIOD
N118,PROC_1682,OFFERS
PROC_1682,N118_전자정보통신공학부,FOR_MAJOR
PROC_1682,가군,IN_PERIOD
N118,PROC_1683,OFFERS
PROC_1683,N118_컴퓨터인공지능공학부,FOR_MAJOR
PROC_1683,가군,IN_PERIOD
N118,PROC_1684,OFFERS
PROC_1684,N118_화학공학과,FOR_MAJOR
PROC_1684,가군,IN_PERIOD
N118,PROC_1685,OFFERS
PROC_1685,N118_건축공학과,FOR_MAJOR
PROC_1685,나군,IN_PERIOD
N118,PROC_1686,OFFERS
PROC_1686,N118_건축학전공,FOR_MAJOR
PROC_1686,나군,IN_PERIOD
N118,PROC_1687,OFFERS
PROC_1687,N118_고분자화학소재공학부,FOR_MAJOR
PROC_1687,나군,IN_PERIOD
N118,PROC_1688,OFFERS
PROC_1688,N118_융합소재공학부,FOR_MAJOR
PROC_1688,나군,IN_PERIOD
N118,PROC_1689,OFFERS
PROC_1689,N118_에너지수송시스템공학부,FOR_MAJOR
PROC_1689,나군,IN_PERIOD
N118,PROC_1690,OFFERS
PROC_1690,N118_시스템경영안전공학부,FOR_MAJOR
PROC_1690,가군,IN_PERIOD
N118,PROC_1691,OFFERS
PROC_1691,N118_나노융합반도체공학부,FOR_MAJOR
PROC_1691,나군,IN_PERIOD
N118,PROC_1692,OFFERS
PROC_1692,N118_토목공학전공,FOR_MAJOR
PROC_1692,나군,IN_PERIOD
N108,부산,LOCATED_IN
N108,PROC_1693,OFFERS
PROC_1693,N108_병원경영학과,FOR_MAJOR
PROC_1693,나군,IN_PERIOD
N108,PROC_1694,OFFERS
PROC_1694,N108_상담심리학과,FOR_MAJOR
PROC_1694,나군,IN_PERIOD
N108,PROC_1695,OFFERS
PROC_1695,N108_사회복지학과,FOR_MAJOR
PROC_1695,가군,IN_PERIOD
N108,PROC_1696,OFFERS
PROC_1696,N108_유통마케팅학과,FOR_MAJOR
PROC_1696,다군,IN_PERIOD
N108,PROC_1697,OFFERS
PROC_1697,N108_방사선학과,FOR_MAJOR
PROC_1697,가군,IN_PERIOD
N108,PROC_1698,OFFERS
PROC_1698,N108_산업안전보건학과,FOR_MAJOR
PROC_1698,나군,IN_PERIOD
N108,PROC_1699,OFFERS
PROC_1699,N108_언어청각치료학과,FOR_MAJOR
PROC_1699,가군,IN_PERIOD
N108,PROC_1700,OFFERS
PROC_1700,N108_임상병리학과,FOR_MAJOR
PROC_1700,가군,IN_PERIOD
N108,PROC_1701,OFFERS
PROC_1701,N108_치기공학과,FOR_MAJOR
PROC_1701,가군,IN_PERIOD
N108,PROC_1702,OFFERS
PROC_1702,N108_간호학과,FOR_MAJOR
PROC_1702,나군,IN_PERIOD
N108,PROC_1703,OFFERS
PROC_1703,N108_물리치료학과,FOR_MAJOR
PROC_1703,나군,IN_PERIOD
N108,PROC_1704,OFFERS
PROC_1704,N108_컴퓨터정보공학과,FOR_MAJOR
PROC_1704,가군,IN_PERIOD
N109,부산,LOCATED_IN
N109,PROC_1705,OFFERS
PROC_1705,N109_초등교육학부,FOR_MAJOR
PROC_1705,나군,IN_PERIOD
N110,부산,LOCATED_IN
N110,PROC_1706,OFFERS
PROC_1706,N110_경영학과,FOR_MAJOR
PROC_1706,가군,IN_PERIOD
N110,PROC_1707,OFFERS
PROC_1707,N110_고고학과,FOR_MAJOR
PROC_1707,가군,IN_PERIOD
N110,PROC_1708,OFFERS
PROC_1708,N110_공공정책학부,FOR_MAJOR
PROC_1708,가군,IN_PERIOD
N110,PROC_1709,OFFERS
PROC_1709,N110_관광컨벤션학과,FOR_MAJOR
PROC_1709,가군,IN_PERIOD
N110,PROC_1710,OFFERS
PROC_1710,N110_교육학과,FOR_MAJOR
PROC_1710,가군,IN_PERIOD
N110,PROC_1711,OFFERS
PROC_1711,N110_국어교육과,FOR_MAJOR
PROC_1711,가군,IN_PERIOD
N110,PROC_1712,OFFERS
PROC_1712,N110_노어노문학과,FOR_MAJOR
PROC_1712,가군,IN_PERIOD
N110,PROC_1713,OFFERS
PROC_1713,N110_독어독문학과,FOR_MAJOR
PROC_1713,가군,IN_PERIOD
N110,PROC_1714,OFFERS
PROC_1714,N110_문헌정보학과,FOR_MAJOR
PROC_1714,가군,IN_PERIOD
N110,PROC_1715,OFFERS
PROC_1715,N110_불어불문학과,FOR_MAJOR
PROC_1715,가군,IN_PERIOD
N110,PROC_1716,OFFERS
PROC_1716,N110_사회복지학과,FOR_MAJOR
PROC_1716,가군,IN_PERIOD
N110,PROC_1717,OFFERS
PROC_1717,N110_미디어커뮤니케이션학과,FOR_MAJOR
PROC_1717,가군,IN_PERIOD
N110,PROC_1718,OFFERS
PROC_1718,N110_언어정보학과,FOR_MAJOR
PROC_1718,가군,IN_PERIOD
N110,PROC_1719,OFFERS
PROC_1719,N110_역사교육과,FOR_MAJOR
PROC_1719,가군,IN_PERIOD
N110,PROC_1720,OFFERS
PROC_1720,N110_영어교육과,FOR_MAJOR
PROC_1720,가군,IN_PERIOD
N110,PROC_1721,OFFERS
PROC_1721,N110_유아교육과,FOR_MAJOR
PROC_1721,가군,IN_PERIOD
N110,PROC_1722,OFFERS
PROC_1722,N110_윤리교육과,FOR_MAJOR
PROC_1722,가군,IN_PERIOD
N110,PROC_1723,OFFERS
PROC_1723,N110_의류학과,FOR_MAJOR
PROC_1723,가군,IN_PERIOD
N110,PROC_1724,OFFERS
PROC_1724,N110_일반사회교육과,FOR_MAJOR
PROC_1724,가군,IN_PERIOD
N110,PROC_1725,OFFERS
PROC_1725,N110_일어일문학과,FOR_MAJOR
PROC_1725,가군,IN_PERIOD
N110,PROC_1726,OFFERS
PROC_1726,N110_중어중문학과,FOR_MAJOR
PROC_1726,가군,IN_PERIOD
N110,PROC_1727,OFFERS
PROC_1727,N110_지리교육과,FOR_MAJOR
PROC_1727,가군,IN_PERIOD
N110,PROC_1728,OFFERS
PROC_1728,N110_특수교육과,FOR_MAJOR
PROC_1728,가군,IN_PERIOD
N110,PROC_1729,OFFERS
PROC_1729,N110_경제학부,FOR_MAJOR
PROC_1729,나군,IN_PERIOD
N110,PROC_1730,OFFERS
PROC_1730,N110_국어국문학과,FOR_MAJOR
PROC_1730,나군,IN_PERIOD
N110,PROC_1731,OFFERS
PROC_1731,N110_무역학부,FOR_MAJOR
PROC_1731,나군,IN_PERIOD
N110,PROC_1732,OFFERS
PROC_1732,N110_사학과,FOR_MAJOR
PROC_1732,나군,IN_PERIOD
N110,PROC_1733,OFFERS
