전공분류대,전공분류중,전공분류소,major_id
예체능,자유전공,자유전공,MAJOR_0223
예체능,음악,자유전공,MAJOR_0224
사회, 자유전공,자유전공,MAJOR_0225
자연, 자유전공,자유전공,MAJOR_0226
공학,공학,시시템공학,MAJOR_0227
공학,화공고분자에너지,신소재공학,MAJOR_0228
인문,사회과학,사회과학,MAJOR_0229
공학,공과대학,공과대학,MAJOR_0230
사회,경영경제,자유전공,MAJOR_0231
자연,화학생명과학환경,자유전공,MAJOR_0232
인문,인문학,인문사회학,MAJOR_0233
공학,전기전자컴퓨터,전기전자컴퓨터,MAJOR_0234
사회,언어문학,일본어문학,MAJOR_0235
자연,생활과학,식품영양,MAJOR_0236
인문,자유전공,독어독문학,MAJOR_0237
인문,자유전공,불어불문학,MAJOR_0238
공학,건축,건축학,MAJOR_0239
사회,사회과학,자유전공,MAJOR_0240
자연,농림수산,농림수산,MAJOR_0241
자연,보건복지,재활치료,MAJOR_0242
교육,교육,자유전공,MAJOR_0243
사회,경영경제,경영,MAJOR_0244
공학,공학,생명공학,MAJOR_0245
